PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
E87737,601023.0,32.0,2069.37,1917.82,1498.0,0.0
E87738,601023.0,93.0,5680.64,5264.23,3758.0,1.0
E87739,601023.0,107.0,2439.46,2268.66,1767.0,0.0
E87740,601023.0,7.0,73.22,67.9,280.0,0.0
E87741,601023.0,22.0,1245.1,1153.58,920.0,0.0
E87742,601023.0,40.0,2531.99,2346.23,2059.0,2.0
E87745,601023.0,40.0,1919.77,1779.33,1674.0,1.0
E87746,601023.0,31.0,1593.32,1477.36,880.0,0.0
E87750,601023.0,45.0,2470.36,2290.44,1755.0,1.0
E87751,601023.0,28.0,2247.75,2082.5,1512.0,2.0
E87753,601023.0,69.0,2133.89,1981.84,1711.0,0.0
E87754,601023.0,38.0,1332.22,1236.6,870.0,0.0
E87755,601023.0,19.0,1256.43,1164.03,876.0,0.0
E87756,601023.0,68.0,3547.52,3287.85,2741.0,2.0
E87762,601023.0,26.0,1140.73,1058.16,794.0,1.0
E87768,601023.0,1.0,73.18,67.8,56.0,0.0
F81001,601023.0,100.0,6407.45,5936.47,4620.0,3.0
F81003,601023.0,47.0,1771.04,1641.88,1602.0,1.0
F81004,601023.0,103.0,3178.84,2945.34,3925.0,1.0
F81006,601023.0,122.0,5181.05,4800.71,4497.0,2.0
F81007,601023.0,164.0,9243.11,8564.76,7303.0,3.0
F81009,601023.0,108.0,4069.13,3771.06,3971.0,1.0
F81010,601023.0,492.0,13240.58,12284.15,13788.0,2.0
F81011,601023.0,79.0,2542.28,2355.82,2124.0,1.0
F81012,601023.0,93.0,3041.64,2818.96,2798.0,3.0
F81013,601023.0,81.0,4010.42,3715.82,3540.0,1.0
F81014,601023.0,112.0,3871.27,3587.4,3634.0,1.0
F81015,601023.0,116.0,3273.36,3033.53,4380.0,1.0
F81016,601023.0,138.0,4334.96,4020.1,3988.0,1.0
F81017,601023.0,163.0,7101.12,6580.38,4698.0,3.0
F81018,601023.0,49.0,1687.23,1563.56,1531.0,3.0
F81019,601023.0,420.0,15221.37,14105.58,10975.0,3.0
F81020,601023.0,73.0,2322.38,2151.27,3222.0,3.0
F81021,601023.0,156.0,5824.04,5396.68,4478.0,3.0
F81022,601023.0,209.0,6251.48,5796.84,5729.0,3.0
F81023,601023.0,62.0,3271.89,3031.77,3432.0,1.0
F81024,601023.0,45.0,1798.96,1667.7,1715.0,1.0
F81025,601023.0,107.0,4708.54,4362.84,3512.0,2.0
F81026,601023.0,122.0,5222.12,4840.06,3448.0,3.0
F81027,601023.0,189.0,7739.35,7171.76,5195.0,2.0
F81028,601023.0,72.0,2787.43,2583.14,1959.0,1.0
F81029,601023.0,129.0,4301.74,3987.54,3703.0,1.0
F81030,601023.0,153.0,4691.06,4348.59,4434.0,1.0
F81031,601023.0,192.0,6508.87,6032.64,5576.0,2.0
F81032,601023.0,28.0,961.56,891.11,871.0,3.0
F81034,601023.0,51.0,1100.5,1019.66,1744.0,1.0
F81035,601023.0,46.0,1303.33,1209.42,1620.0,1.0
F81036,601023.0,192.0,8793.04,8147.38,7309.0,1.0
F81037,601023.0,131.0,4461.67,4136.48,2975.0,2.0
F81038,601023.0,108.0,5570.56,5161.69,5437.0,1.0
F81040,601023.0,32.0,842.24,780.16,824.0,3.0
F81041,601023.0,127.0,5591.0,5180.53,5502.0,3.0
F81042,601023.0,256.0,8929.75,8277.08,6308.0,1.0
F81043,601023.0,145.0,4324.36,4009.88,4153.0,3.0
F81044,601023.0,99.0,4491.38,4161.67,2548.0,3.0
F81045,601023.0,31.0,1183.6,1097.93,1018.0,3.0
F81046,601023.0,78.0,4406.18,4082.83,3000.0,3.0
F81047,601023.0,99.0,2928.0,2714.75,2544.0,1.0
F81048,601023.0,82.0,3172.65,2942.31,2663.0,1.0
F81049,601023.0,176.0,6237.27,5780.32,4956.0,3.0
F81051,601023.0,140.0,5808.65,5382.25,4703.0,3.0
F81052,601023.0,250.0,10709.45,9923.34,5974.0,3.0
F81053,601023.0,87.0,3209.41,2976.35,2357.0,1.0
F81055,601023.0,170.0,6776.46,6284.55,6367.0,1.0
F81056,601023.0,97.0,3628.16,3362.56,2389.0,3.0
F81057,601023.0,48.0,1424.58,1321.97,1548.0,1.0
F81060,601023.0,105.0,3118.11,2891.68,2424.0,2.0
F81061,601023.0,145.0,4022.57,3730.32,3550.0,3.0
F81062,601023.0,114.0,4836.24,4483.84,4880.0,1.0
F81065,601023.0,51.0,1826.39,1693.99,1252.0,1.0
F81066,601023.0,50.0,1983.72,1838.1,1558.0,3.0
F81067,601023.0,141.0,5297.73,4909.6,3585.0,3.0
F81068,601023.0,187.0,7996.19,7409.17,5308.0,1.0
F81069,601023.0,81.0,2669.18,2474.13,1839.0,1.0
F81070,601023.0,40.0,1458.05,1351.56,1027.0,3.0
F81071,601023.0,83.0,3783.65,3506.2,3296.0,1.0
F81072,601023.0,93.0,3653.6,3385.63,3244.0,1.0
F81073,601023.0,8.0,332.61,308.2,420.0,2.0
F81074,601023.0,107.0,3528.71,3272.58,3128.0,1.0
F81075,601023.0,157.0,9023.65,8361.78,6651.0,3.0
F81076,601023.0,69.0,1796.4,1664.4,2367.0,3.0
F81078,601023.0,48.0,2510.77,2327.3,1732.0,0.0
F81079,601023.0,159.0,6124.07,5675.06,4115.0,3.0
F81080,601023.0,127.0,5857.93,5431.44,4955.0,1.0
F81081,601023.0,243.0,12832.45,11890.14,10794.0,2.0
F81082,601023.0,152.0,4856.03,4500.05,4157.0,3.0
F81083,601023.0,83.0,4327.11,4009.84,3015.0,1.0
F81084,601023.0,92.0,3081.14,2855.31,2402.0,2.0
F81085,601023.0,107.0,5087.59,4714.02,4021.0,1.0
F81086,601023.0,100.0,4392.81,4070.42,3541.0,1.0
F81087,601023.0,191.0,5971.01,5533.17,6091.0,3.0
F81088,601023.0,34.0,1049.34,972.42,938.0,1.0
F81089,601023.0,130.0,6162.43,5709.96,5868.0,3.0
F81090,601023.0,125.0,4141.54,3838.62,3227.0,1.0
F81091,601023.0,139.0,7188.97,6662.03,4117.0,1.0
F81092,601023.0,44.0,1943.8,1801.06,2420.0,3.0
F81094,601023.0,106.0,4396.03,4073.75,2759.0,3.0
F81095,601023.0,214.0,8230.16,7628.24,4919.0,1.0
F81096,601023.0,231.0,10307.47,9551.49,8918.0,3.0
F81097,601023.0,166.0,7251.46,6719.37,6231.0,1.0
F81098,601023.0,64.0,2224.54,2061.1,1790.0,3.0
F81099,601023.0,302.0,8862.27,8220.07,7070.0,3.0
F81100,601023.0,101.0,3146.65,2915.96,3146.0,1.0
F81101,601023.0,58.0,2400.77,2226.11,2305.0,3.0
F81102,601023.0,77.0,3818.72,3539.85,3331.0,1.0
F81104,601023.0,91.0,2849.94,2641.92,2830.0,3.0
F81105,601023.0,250.0,6842.78,6340.94,7127.0,1.0
F81106,601023.0,173.0,3802.87,3527.84,4275.0,1.0
F81108,601023.0,262.0,15155.62,14043.61,10160.0,2.0
F81109,601023.0,41.0,1710.35,1584.76,1016.0,0.0
F81110,601023.0,73.0,2889.76,2677.66,1840.0,2.0
F81111,601023.0,71.0,2105.56,1952.44,1896.0,1.0
F81112,601023.0,66.0,3444.8,3191.96,2961.0,1.0
F81113,601023.0,230.0,8525.2,7900.6,6137.0,0.0
F81114,601023.0,164.0,4452.92,4128.11,4026.0,1.0
F81115,601023.0,111.0,4506.2,4175.48,3133.0,3.0
F81116,601023.0,121.0,5241.21,4856.61,4392.0,3.0
F81117,601023.0,159.0,5207.81,4827.37,5579.0,1.0
F81118,601023.0,145.0,4877.15,4521.2,4115.0,1.0
F81119,601023.0,73.0,2883.75,2671.73,2013.0,3.0
F81120,601023.0,231.0,7979.22,7396.03,5690.0,1.0
F81121,601023.0,102.0,4484.21,4157.29,3844.0,3.0
F81122,601023.0,73.0,2522.3,2340.36,2498.0,1.0
F81123,601023.0,203.0,7209.29,6689.19,8676.0,3.0
F81125,601023.0,312.0,15676.17,14525.24,13885.0,3.0
F81126,601023.0,128.0,4786.55,4436.42,3899.0,3.0
F81127,601023.0,58.0,3276.09,3036.71,2863.0,1.0
F81128,601023.0,174.0,8304.02,7695.88,6647.0,3.0
F81130,601023.0,34.0,854.52,792.21,1066.0,3.0
F81131,601023.0,91.0,2887.61,2676.67,2338.0,1.0
F81132,601023.0,194.0,6136.23,5686.5,4951.0,1.0
F81133,601023.0,192.0,7232.82,6702.77,7005.0,3.0
F81134,601023.0,219.0,8570.59,7942.84,5412.0,1.0
F81136,601023.0,78.0,2110.31,1959.22,2233.0,1.0
F81137,601023.0,100.0,3274.65,3034.29,2651.0,1.0
F81138,601023.0,38.0,1040.27,963.84,805.0,3.0
F81141,601023.0,33.0,1329.09,1231.26,1190.0,0.0
F81142,601023.0,72.0,5314.34,4923.59,4483.0,3.0
F81144,601023.0,106.0,5858.52,5428.3,4228.0,1.0
F81147,601023.0,34.0,1225.29,1135.38,1400.0,3.0
F81149,601023.0,197.0,7106.1,6586.57,4763.0,1.0
F81150,601023.0,89.0,3786.4,3508.49,3252.0,2.0
F81151,601023.0,80.0,3153.45,2922.4,2154.0,2.0
F81152,601023.0,84.0,4838.1,4482.47,4010.0,1.0
F81153,601023.0,194.0,9870.08,9145.59,6093.0,1.0
F81155,601023.0,134.0,3366.87,3124.32,3055.0,1.0
F81156,601023.0,121.0,4245.8,3934.89,3551.0,2.0
F81158,601023.0,87.0,2830.47,2625.61,3115.0,2.0
F81159,601023.0,59.0,2505.76,2322.08,2373.0,0.0
F81163,601023.0,45.0,2514.98,2330.55,1818.0,1.0
F81164,601023.0,107.0,4390.01,4069.21,3731.0,1.0
F81165,601023.0,29.0,1721.72,1595.17,1510.0,1.0
F81168,601023.0,105.0,2876.87,2670.98,2531.0,2.0
F81169,601023.0,43.0,2338.16,2166.66,2479.0,1.0
F81170,601023.0,46.0,1953.52,1810.09,1663.0,1.0
F81173,601023.0,138.0,6140.1,5691.26,3615.0,1.0
F81176,601023.0,36.0,1612.22,1493.82,1350.0,2.0
F81177,601023.0,122.0,3617.35,3354.8,2847.0,1.0
