PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A85024,601021.0,63.0,289.29,270.24,3609.0,3.0
A85026,601021.0,114.0,149.51,144.3,4711.0,1.0
A85609,601021.0,21.0,54.16,50.82,952.0,3.0
A85611,601021.0,87.0,209.23,199.47,3626.0,1.0
A85614,601021.0,66.0,137.64,131.38,2055.0,0.0
A85616,601021.0,131.0,403.94,381.46,6695.0,1.0
A85617,601021.0,69.0,188.87,178.58,3283.0,1.0
A85620,601021.0,68.0,153.12,146.47,2413.0,1.0
A86003,601021.0,273.0,421.36,407.47,11437.0,0.0
A86004,601021.0,160.0,737.23,687.83,13068.0,2.0
A86005,601021.0,137.0,410.14,386.58,7518.0,1.0
A86006,601021.0,58.0,191.84,180.72,3338.0,3.0
A86007,601021.0,19.0,89.05,83.51,1339.0,0.0
A86008,601021.0,163.0,474.14,449.84,10283.0,1.0
A86010,601021.0,127.0,332.9,318.0,7602.0,1.0
A86011,601021.0,303.0,601.27,574.99,12295.0,2.0
A86012,601021.0,248.0,463.37,438.84,13803.0,2.0
A86013,601021.0,136.0,433.32,405.75,8664.0,2.0
A86015,601021.0,47.0,103.22,98.11,2893.0,1.0
A86016,601021.0,111.0,257.47,244.54,5702.0,1.0
A86017,601021.0,217.0,496.51,471.65,9375.0,2.0
A86018,601021.0,112.0,373.43,352.39,7608.0,1.0
A86020,601021.0,21.0,92.81,86.93,1569.0,1.0
A86021,601021.0,267.0,850.54,802.53,11687.0,2.0
A86022,601021.0,91.0,213.21,203.68,3279.0,3.0
A86023,601021.0,205.0,607.05,572.81,13833.0,2.0
A86024,601021.0,104.0,205.32,196.74,4593.0,0.0
A86025,601021.0,274.0,637.35,608.15,11538.0,2.0
A86026,601021.0,142.0,361.78,341.33,6792.0,3.0
A86027,601021.0,12.0,32.19,30.45,564.0,0.0
A86028,601021.0,72.0,134.75,128.48,3593.0,1.0
A86029,601021.0,361.0,690.35,669.16,15596.0,2.0
A86030,601021.0,284.0,658.21,626.05,13312.0,2.0
A86031,601021.0,95.0,258.45,243.37,6096.0,0.0
A86033,601021.0,49.0,134.38,126.48,3181.0,1.0
A86035,601021.0,29.0,73.52,69.24,2067.0,1.0
A86036,601021.0,87.0,221.92,210.34,4866.0,1.0
A86037,601021.0,216.0,758.87,716.71,10973.0,2.0
A86038,601021.0,86.0,127.54,122.37,3786.0,3.0
A86040,601021.0,177.0,344.54,328.8,8260.0,2.0
A86041,601021.0,138.0,291.56,279.08,5949.0,1.0
A86601,601021.0,127.0,411.01,386.01,8239.0,1.0
A87002,601021.0,124.0,397.66,372.78,9939.0,3.0
A87003,601021.0,193.0,656.71,616.92,14491.0,3.0
A87004,601021.0,318.0,833.55,785.83,22328.0,1.0
A87005,601021.0,208.0,763.1,718.08,12869.0,3.0
A87006,601021.0,76.0,312.74,292.02,4893.0,3.0
A87007,601021.0,170.0,566.74,532.85,11258.0,3.0
A87008,601021.0,123.0,309.85,293.13,8718.0,1.0
A87009,601021.0,200.0,520.01,491.66,10829.0,1.0
A87011,601021.0,120.0,417.47,392.74,8495.0,1.0
A87012,601021.0,144.0,417.2,391.01,9048.0,3.0
A87013,601021.0,219.0,421.5,402.51,11650.0,2.0
A87014,601021.0,78.0,203.18,192.45,4162.0,1.0
A87015,601021.0,127.0,287.15,271.03,8893.0,3.0
A87016,601021.0,192.0,492.29,462.54,12421.0,1.0
A87017,601021.0,90.0,155.11,146.38,5212.0,3.0
A87019,601021.0,101.0,356.04,334.76,6229.0,3.0
A87020,601021.0,120.0,395.65,371.86,7497.0,1.0
A87022,601021.0,80.0,251.17,238.02,5095.0,1.0
A87023,601021.0,110.0,282.72,267.52,6623.0,1.0
A87027,601021.0,145.0,597.55,558.69,12150.0,2.0
