PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A84032,601022.0,104.0,375.59,349.52,7410.0,3.0
A84033,601022.0,127.0,435.08,408.41,10696.0,3.0
A84034,601022.0,225.0,643.66,604.68,17727.0,3.0
A84035,601022.0,207.0,764.0,712.9,17983.0,3.0
A84036,601022.0,939.0,3076.72,2892.64,70260.0,3.0
A84037,601022.0,213.0,800.99,751.98,17773.0,3.0
A84038,601022.0,339.0,1407.03,1322.29,28411.0,3.0
A84039,601022.0,146.0,505.76,473.66,12789.0,3.0
A84040,601022.0,120.0,279.05,259.57,6847.0,3.0
A84042,601022.0,82.0,231.4,214.37,6748.0,3.0
A84043,601022.0,531.0,2735.52,2546.95,60135.0,1.0
A84044,601022.0,303.0,1090.19,1020.62,22919.0,3.0
A84045,601022.0,184.0,642.82,602.77,13202.0,3.0
A84047,601022.0,177.0,473.96,447.97,10217.0,3.0
A84604,601022.0,86.0,374.61,348.01,7244.0,3.0
A84609,601022.0,79.0,262.39,243.16,6426.0,3.0
A84614,601022.0,69.0,313.16,292.76,6457.0,3.0
A84619,601022.0,101.0,653.83,608.86,10710.0,1.0
A85001,601022.0,215.0,727.47,684.74,16219.0,1.0
A85002,601022.0,195.0,519.05,490.03,14567.0,3.0
A85003,601022.0,263.0,888.44,831.9,21231.0,3.0
A85004,601022.0,386.0,1375.39,1296.7,29000.0,2.0
A85005,601022.0,634.0,2122.29,2002.06,43542.0,2.0
A85006,601022.0,366.0,1452.61,1369.86,22792.0,1.0
A85007,601022.0,199.0,784.59,737.58,16557.0,1.0
A85008,601022.0,708.0,2580.41,2437.54,44159.0,3.0
A85009,601022.0,305.0,991.85,934.22,19225.0,2.0
A85010,601022.0,314.0,1351.62,1263.97,30469.0,1.0
A85011,601022.0,320.0,915.93,864.93,20411.0,2.0
A85012,601022.0,185.0,653.81,618.49,15626.0,2.0
A85013,601022.0,180.0,500.52,473.75,10299.0,2.0
A85014,601022.0,295.0,1119.79,1055.07,16868.0,3.0
A85016,601022.0,631.0,1913.89,1808.02,38049.0,2.0
A85017,601022.0,253.0,593.51,567.03,13242.0,0.0
A85018,601022.0,181.0,627.59,590.77,13401.0,3.0
A85019,601022.0,305.0,1393.67,1299.54,30569.0,2.0
A85020,601022.0,347.0,1587.28,1488.99,36416.0,3.0
