PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A82623,601011.0,24.0,897.82,831.9,144.0,3.0
A82623,601012.0,56.0,1886.66,1748.33,351.0,3.0
A82629,601011.0,12.0,571.32,529.36,88.0,2.0
A82629,601012.0,24.0,960.62,890.1,170.0,2.0
A82631,601011.0,18.0,640.22,593.04,106.0,3.0
A82631,601012.0,22.0,950.58,880.51,145.0,3.0
A82646,601011.0,18.0,635.77,589.13,100.0,3.0
A82646,601012.0,47.0,2061.84,1910.41,298.0,3.0
A82647,601011.0,7.0,238.19,220.67,37.0,3.0
A82647,601012.0,15.0,586.81,543.63,90.0,3.0
A82650,601011.0,7.0,289.94,268.58,35.0,3.0
A82650,601012.0,12.0,494.52,458.07,85.0,3.0
A82651,601011.0,14.0,738.12,683.73,117.0,3.0
A82651,601012.0,17.0,715.8,663.04,115.0,3.0
A82654,601011.0,40.0,1779.9,1649.2,275.0,1.0
A82654,601012.0,63.0,2859.7,2649.87,419.0,1.0
A83001,601011.0,53.0,2496.7,2313.34,381.0,1.0
A83001,601012.0,111.0,5442.98,5043.9,805.0,1.0
A83003,601011.0,48.0,2091.71,1938.42,307.0,2.0
A83003,601012.0,98.0,3851.94,3569.38,634.0,2.0
A83004,601011.0,15.0,628.55,582.4,110.0,2.0
A83004,601012.0,47.0,1748.01,1619.72,325.0,2.0
A83005,601011.0,50.0,1889.71,1751.04,288.0,3.0
A83005,601012.0,113.0,4968.94,4604.32,792.0,3.0
A83006,601011.0,36.0,1380.78,1279.63,192.0,1.0
A83006,601012.0,59.0,3063.59,2838.54,509.0,1.0
A83007,601011.0,25.0,1085.34,1005.67,175.0,2.0
A83007,601012.0,119.0,5218.42,4835.44,979.0,2.0
A83008,601011.0,21.0,824.0,763.53,125.0,2.0
A83008,601012.0,53.0,2607.7,2416.13,405.0,2.0
A83009,601011.0,45.0,2291.91,2123.53,346.0,3.0
A83009,601012.0,69.0,3752.24,3477.02,521.0,3.0
A83010,601011.0,54.0,2511.69,2327.21,431.0,3.0
A83010,601012.0,118.0,4975.37,4610.4,812.0,3.0
A83011,601011.0,69.0,4155.06,3849.61,616.0,0.0
A83011,601012.0,86.0,5783.94,5358.64,738.0,0.0
A83012,601011.0,68.0,3033.61,2810.79,508.0,2.0
A83012,601012.0,182.0,8510.02,7885.77,1444.0,2.0
A83013,601011.0,36.0,1426.23,1321.56,214.0,2.0
A83013,601012.0,76.0,3363.21,3116.43,542.0,2.0
A83014,601011.0,35.0,1730.76,1603.57,267.0,3.0
A83014,601012.0,72.0,3800.16,3520.83,523.0,3.0
A83015,601011.0,56.0,2306.14,2136.85,328.0,3.0
A83015,601012.0,107.0,4468.88,4141.04,706.0,3.0
A83016,601011.0,70.0,3068.21,2842.89,466.0,2.0
A83016,601012.0,136.0,6205.87,5750.35,949.0,2.0
A83017,601011.0,46.0,1756.22,1627.32,279.0,3.0
A83017,601012.0,123.0,5263.88,4877.66,870.0,3.0
A83018,601011.0,102.0,6027.9,5584.78,890.0,3.0
A83018,601012.0,168.0,8931.58,8275.53,1316.0,3.0
A83019,601011.0,17.0,711.09,658.87,106.0,2.0
A83019,601012.0,66.0,3317.21,3073.48,554.0,2.0
A83020,601011.0,63.0,2563.78,2375.59,414.0,3.0
A83020,601012.0,140.0,5596.74,5186.39,916.0,3.0
A83021,601011.0,70.0,2672.49,2476.21,413.0,2.0
A83021,601012.0,169.0,7024.99,6509.14,1111.0,2.0
A83022,601011.0,140.0,6187.89,5733.4,999.0,1.0
A83022,601012.0,264.0,12681.26,11749.46,1826.0,1.0
A83023,601011.0,82.0,3292.94,3051.2,531.0,2.0
A83023,601012.0,129.0,5508.87,5104.78,783.0,2.0
A83024,601011.0,40.0,2381.36,2206.21,386.0,3.0
A83024,601012.0,74.0,5105.12,4729.52,760.0,3.0
A83025,601011.0,58.0,2240.26,2075.96,350.0,2.0
A83025,601012.0,186.0,7084.39,6564.91,1209.0,2.0
A83026,601011.0,62.0,2815.97,2609.16,413.0,1.0
A83026,601012.0,100.0,4784.84,4433.54,701.0,1.0
A83027,601011.0,43.0,1560.74,1446.31,245.0,1.0
A83027,601012.0,67.0,3426.7,3174.9,510.0,1.0
A83028,601011.0,66.0,2857.5,2647.67,414.0,3.0
A83028,601012.0,101.0,4326.51,4009.1,645.0,3.0
A83029,601011.0,35.0,1511.98,1400.98,242.0,3.0
A83029,601012.0,47.0,2506.02,2321.96,322.0,3.0
A83030,601011.0,57.0,3024.48,2802.22,463.0,1.0
A83030,601012.0,103.0,5459.56,5058.56,791.0,1.0
A83031,601011.0,31.0,1440.74,1334.92,208.0,3.0
A83031,601012.0,54.0,2625.2,2432.72,415.0,3.0
A83032,601011.0,14.0,492.63,456.55,74.0,3.0
A83032,601012.0,31.0,887.23,822.32,156.0,3.0
A83033,601011.0,57.0,2935.81,2720.06,412.0,3.0
A83033,601012.0,99.0,5293.17,4904.15,815.0,3.0
A83034,601011.0,26.0,1529.33,1416.92,225.0,1.0
A83034,601012.0,48.0,2329.04,2158.11,350.0,1.0
A83035,601011.0,30.0,1234.68,1144.06,197.0,3.0
A83035,601012.0,70.0,2460.66,2280.55,437.0,3.0
A83036,601011.0,52.0,2783.4,2578.87,441.0,3.0
A83036,601012.0,90.0,4203.64,3894.89,598.0,3.0
A83037,601011.0,57.0,2634.69,2441.26,398.0,3.0
A83037,601012.0,118.0,6134.67,5684.0,915.0,3.0
A83038,601011.0,26.0,1081.68,1002.35,165.0,1.0
A83038,601012.0,30.0,1111.83,1030.36,161.0,1.0
A83040,601011.0,52.0,2384.14,2209.02,391.0,2.0
A83040,601012.0,120.0,5319.71,4929.31,820.0,2.0
A83041,601011.0,43.0,1877.71,1739.92,318.0,3.0
A83041,601012.0,91.0,3836.02,3554.58,632.0,3.0
A83042,601011.0,14.0,728.88,675.32,99.0,2.0
A83042,601012.0,68.0,2692.06,2494.72,514.0,2.0
A83043,601011.0,12.0,673.32,623.76,90.0,3.0
A83043,601012.0,19.0,851.69,789.01,130.0,3.0
A83044,601011.0,31.0,1418.04,1313.92,226.0,2.0
A83044,601012.0,80.0,3583.22,3320.24,593.0,2.0
A83045,601011.0,70.0,2932.25,2716.96,424.0,1.0
A83045,601012.0,176.0,7455.36,6908.52,1182.0,1.0
A83046,601011.0,42.0,1817.54,1683.89,285.0,3.0
A83046,601012.0,106.0,5195.95,4813.87,799.0,3.0
A83047,601011.0,61.0,2470.45,2289.12,363.0,1.0
A83047,601012.0,114.0,4699.34,4355.08,765.0,1.0
A83048,601011.0,19.0,764.2,708.07,117.0,3.0
A83048,601012.0,42.0,1726.41,1599.97,264.0,3.0
A83049,601011.0,60.0,2739.62,2538.5,423.0,1.0
A83049,601012.0,104.0,5146.09,4768.29,729.0,1.0
A83050,601011.0,70.0,3329.16,3084.61,434.0,1.0
A83050,601012.0,136.0,5694.0,5275.94,941.0,1.0
A83051,601011.0,44.0,2261.81,2095.77,404.0,1.0
A83051,601012.0,88.0,4737.09,4389.14,844.0,1.0
A83052,601011.0,43.0,2249.87,2084.84,366.0,3.0
A83052,601012.0,101.0,4554.92,4223.49,645.0,3.0
A83054,601011.0,70.0,3282.59,3041.59,499.0,3.0
A83054,601012.0,198.0,8539.38,7912.32,1428.0,3.0
A83055,601011.0,21.0,1043.81,967.13,153.0,3.0
A83055,601012.0,24.0,1222.49,1132.68,170.0,3.0
A83057,601011.0,38.0,1664.3,1542.09,227.0,2.0
A83057,601012.0,96.0,4257.95,3945.32,721.0,2.0
A83060,601011.0,19.0,805.92,746.61,111.0,3.0
A83060,601012.0,32.0,987.16,914.69,166.0,3.0
A83061,601011.0,14.0,664.83,615.85,110.0,3.0
A83061,601012.0,23.0,1047.81,970.6,161.0,3.0
A83066,601011.0,47.0,1854.25,1718.17,282.0,2.0
A83066,601012.0,99.0,4024.66,3729.68,623.0,2.0
A83070,601011.0,22.0,894.41,828.71,144.0,3.0
A83070,601012.0,41.0,1737.67,1610.05,248.0,3.0
A83071,601011.0,16.0,879.21,814.61,133.0,1.0
A83071,601012.0,35.0,1703.78,1578.62,260.0,1.0
A83072,601011.0,13.0,496.49,460.05,61.0,3.0
A83072,601012.0,23.0,1032.17,956.36,170.0,3.0
A83073,601011.0,40.0,1792.91,1661.23,280.0,3.0
A83073,601012.0,60.0,2794.97,2589.66,401.0,3.0
A83074,601011.0,56.0,2227.53,2064.03,357.0,2.0
A83074,601012.0,142.0,6700.9,6208.93,962.0,2.0
A83075,601011.0,16.0,544.69,504.75,95.0,3.0
A83075,601012.0,42.0,1495.61,1385.87,245.0,3.0
A83076,601011.0,17.0,637.9,591.09,97.0,3.0
A83076,601012.0,29.0,1028.02,952.6,160.0,3.0
A83603,601011.0,13.0,547.89,507.67,79.0,2.0
A83603,601012.0,21.0,816.68,756.83,129.0,2.0
A83610,601011.0,20.0,725.85,672.61,112.0,2.0
A83610,601012.0,40.0,2096.22,1942.19,325.0,2.0
A83616,601011.0,5.0,149.42,138.47,22.0,2.0
A83616,601012.0,30.0,1140.27,1056.56,215.0,2.0
A83617,601011.0,5.0,148.27,137.39,22.0,1.0
A83617,601012.0,14.0,443.61,411.26,73.0,1.0
A83618,601011.0,26.0,1001.09,927.61,162.0,1.0
A83618,601012.0,30.0,1577.28,1461.32,184.0,1.0
A83619,601011.0,29.0,1841.64,1706.23,291.0,2.0
A83619,601012.0,40.0,2134.32,1977.47,355.0,2.0
A83622,601011.0,9.0,295.25,273.5,41.0,3.0
A83622,601012.0,20.0,758.38,702.54,125.0,3.0
A83626,601011.0,14.0,550.86,510.31,85.0,3.0
A83626,601012.0,27.0,1134.63,1051.06,158.0,3.0
A83627,601011.0,27.0,1228.64,1138.39,198.0,2.0
A83627,601012.0,58.0,2541.56,2354.93,430.0,2.0
A83630,601011.0,14.0,509.23,471.97,74.0,2.0
A83630,601012.0,20.0,1092.01,1011.77,145.0,2.0
A83632,601011.0,13.0,562.33,521.04,80.0,2.0
A83632,601012.0,26.0,1259.83,1167.28,180.0,2.0
A83634,601011.0,13.0,539.35,499.75,90.0,2.0
A83634,601012.0,34.0,1187.72,1100.58,195.0,2.0
A83635,601011.0,25.0,1070.63,992.01,156.0,1.0
A83635,601012.0,36.0,1883.49,1745.1,265.0,1.0
A83636,601011.0,33.0,1426.35,1321.62,210.0,1.0
A83636,601012.0,48.0,1654.55,1533.29,253.0,1.0
A83637,601011.0,9.0,334.31,309.78,55.0,2.0
A83637,601012.0,33.0,1535.58,1422.79,245.0,2.0
A83641,601011.0,14.0,526.31,487.7,86.0,2.0
A83641,601012.0,41.0,1267.32,1175.3,209.0,2.0
A83644,601011.0,11.0,442.97,410.45,75.0,2.0
A83644,601012.0,30.0,1485.74,1376.61,219.0,2.0
A84002,601011.0,21.0,951.27,881.42,145.0,3.0
A84002,601012.0,29.0,1285.4,1191.04,255.0,3.0
A84003,601011.0,34.0,1523.05,1411.3,259.0,1.0
A84003,601012.0,155.0,7316.94,6779.7,1578.0,1.0
A84005,601011.0,26.0,1062.11,984.16,177.0,1.0
A84005,601012.0,87.0,4042.71,3745.87,803.0,1.0
A84006,601011.0,67.0,2976.08,2757.53,526.0,3.0
A84006,601012.0,167.0,6453.47,5979.68,1397.0,3.0
A84007,601011.0,42.0,1784.42,1653.3,295.0,3.0
A84007,601012.0,98.0,4085.31,3785.18,709.0,3.0
