PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
A83014,601011,35,1730.76,1603.57,267,3
A83014,601012,72,3800.16,3520.83,523,3
A83015,601011,56,2306.14,2136.85,328,3
A83015,601012,107,4468.88,4141.04,706,3
A83016,601011,70,3068.21,2842.89,466,2
A83016,601012,136,6205.87,5750.35,949,2
A83017,601011,46,1756.22,1627.32,279,3
A83017,601012,123,5263.88,4877.66,870,3
A83018,601011,102,6027.9,5584.78,890,3
A83018,601012,168,8931.58,8275.53,1316,3
A83019,601011,17,711.09,658.87,106,2
A83019,601012,66,3317.21,3073.48,554,2
A83020,601011,63,2563.78,2375.59,414,3
A83020,601012,140,5596.74,5186.39,916,3
A83021,601011,70,2672.49,2476.21,413,2
A83021,601012,169,7024.99,6509.14,1111,2
A83022,601011,140,6187.89,5733.4,999,1
A83022,601012,264,12681.26,11749.46,1826,1
A83023,601011,82,3292.94,3051.2,531,2
A83023,601012,129,5508.87,5104.78,783,2
A83024,601011,40,2381.36,2206.21,386,3
A83024,601012,74,5105.12,4729.52,760,3
A83025,601011,58,2240.26,2075.96,350,2
A83025,601012,186,7084.39,6564.91,1209,2
A83026,601011,62,2815.97,2609.16,413,1
A83026,601012,100,4784.84,4433.54,701,1
A83027,601011,43,1560.74,1446.31,245,1
A83027,601012,67,3426.7,3174.9,510,1
A83028,601011,66,2857.5,2647.67,414,3
A83028,601012,101,4326.51,4009.1,645,3
A83029,601011,35,1511.98,1400.98,242,3
A83029,601012,47,2506.02,2321.96,322,3
A83030,601011,57,3024.48,2802.22,463,1
A83030,601012,103,5459.56,5058.56,791,1
A83031,601011,31,1440.74,1334.92,208,3
A83031,601012,54,2625.2,2432.72,415,3
A83032,601011,14,492.63,456.55,74,3
A83032,601012,31,887.23,822.32,156,3
A83033,601011,57,2935.81,2720.06,412,3
A83033,601012,99,5293.17,4904.15,815,3
A83034,601011,26,1529.33,1416.92,225,1
A83034,601012,48,2329.04,2158.11,350,1
A83035,601011,30,1234.68,1144.06,197,3
A83035,601012,70,2460.66,2280.55,437,3
A83036,601011,52,2783.4,2578.87,441,3
A83036,601012,90,4203.64,3894.89,598,3
A83037,601011,57,2634.69,2441.26,398,3
A83037,601012,118,6134.67,5684,915,3
A83038,601011,26,1081.68,1002.35,165,1
A83038,601012,30,1111.83,1030.36,161,1
A83040,601011,52,2384.14,2209.02,391,2
A83040,601012,120,5319.71,4929.31,820,2
A83041,601011,43,1877.71,1739.92,318,3
A83041,601012,91,3836.02,3554.58,632,3
A83042,601011,14,728.88,675.32,99,2
A83042,601012,68,2692.06,2494.72,514,2
A83043,601011,12,673.32,623.76,90,3
A83043,601012,19,851.69,789.01,130,3
A83044,601011,31,1418.04,1313.92,226,2
A83044,601012,80,3583.22,3320.24,593,2
A83045,601011,70,2932.25,2716.96,424,1
A83045,601012,176,7455.36,6908.52,1182,1
A83046,601011,42,1817.54,1683.89,285,3
A83046,601012,106,5195.95,4813.87,799,3
A83047,601011,61,2470.45,2289.12,363,1
A83047,601012,114,4699.34,4355.08,765,1
A83048,601011,19,764.2,708.07,117,3
A83048,601012,42,1726.41,1599.97,264,3
A83049,601011,60,2739.62,2538.5,423,1
A83049,601012,104,5146.09,4768.29,729,1
A83050,601011,70,3329.16,3084.61,434,1
A83050,601012,136,5694,5275.94,941,1
A83051,601011,44,2261.81,2095.77,404,1
A83051,601012,88,4737.09,4389.14,844,1
A83052,601011,43,2249.87,2084.84,366,3
A83052,601012,101,4554.92,4223.49,645,3
A83054,601011,70,3282.59,3041.59,499,3
A83054,601012,198,8539.38,7912.32,1428,3
A83055,601011,21,1043.81,967.13,153,3
A83055,601012,24,1222.49,1132.68,170,3
A83057,601011,38,1664.3,1542.09,227,2
A83057,601012,96,4257.95,3945.32,721,2
A83060,601011,19,805.92,746.61,111,3
A83060,601012,32,987.16,914.69,166,3
A83061,601011,14,664.83,615.85,110,3
A83061,601012,23,1047.81,970.6,161,3
