PRACTICE,ITEMS  ,NIC        ,ACT COST   ,QUANTITY,PERIOD
C83033,8072,52206.819999999956,48367.110000000044,438439,217243824
C83035,25774,182658.48999999973,169613.89000000025,1725316,400801744
C83036,25771,128852.18000000008,119619.65000000002,1041891,307207376
C83037,19604,138842.32000000015,129091.68000000001,1099152,340489856
C83038,17584,137371.5200000004,127590.2800000001,1140336,346541216
C83039,15350,100992.88000000021,93581.39999999994,745941,256577664
C83040,43961,253374.52000000008,237021.79000000004,2178599,454053712
C83041,14061,129172.04000000002,120238.65000000017,1064976,312048464
C83042,18175,122406.6999999999,113472.37999999999,965421,350777168
C83043,26109,178648.99999999983,165852.75999999986,1420189,376999728
C83044,23511,172993.52999999985,161410.69999999995,1728112,362073040
C83045,35372,321339.61999999994,298433.63999999984,2930853,457482816
C83046,12030,83453.68000000007,77777.52999999994,698951,284010496
C83047,17232,131088.69000000032,121836.66999999977,1176614,318906672
C83048,21862,191108.52000000008,177489.89000000013,1750574,376798016
C83049,16205,127310.38000000002,118025.03999999995,937776,278362560
C83051,17253,112108.74000000005,104586.40000000004,888173,328588848
C83052,7911,48172.93000000011,44677.99999999995,410330,201308576
C83053,4329,32456.29999999996,30072.41999999998,271496,158545632
C83054,22870,170239.6499999999,158056.88,1429857,371755216
C83055,12984,90952.14999999983,84260.91999999997,766873,277757424
C83056,30190,203761.70000000065,189794.1300000004,1959935,416736992
C83057,14334,97768.9300000001,91021.85999999997,844509,304585120
C83058,14274,119967.11999999998,111549.9199999999,1096551,322335776
C83059,16584,147075.65000000017,136763.0999999999,1330832,332421376
C83060,14427,118129.44999999987,109741.57999999996,936527,295911504
C83061,21314,140254.71000000005,130228.98999999992,1279167,341498416
C83062,12319,98700.49999999985,91734.1099999999,735382,294297808
C83063,50956,350213.60000000015,325956.93999999925,2854289,502061168
C83064,65993,412106.9100000002,385601.4000000001,3536539,563179904
C83065,16604,127594.90999999992,118545.37999999982,1163747,339884720
C83067,12907,87931.14000000004,81504.5300000001,666445,259603344
C83068,447,2985.5600000000013,2777.929999999998,32909,45990336
C83071,17176,123655.71999999974,115168.1400000002,1124548,321327216
C83072,18752,145771.41999999987,135850.98000000007,1140884,335850480
C83073,2932,23284.57000000002,21689.660000000014,190246,146644624
C83074,10808,70217.49999999984,65151.45999999996,552183,234187632
C83075,14218,97790.41999999991,90897.06999999995,944310,300954304
C83078,15330,94253.29999999987,87888.17,830833,274328320
C83079,7162,61675.779999999984,57378.25,477801,223900320
C83080,10766,87807.88999999991,81612.54000000002,947813,284817344
C83082,19697,164488.71000000046,153318.27999999985,1384079,364493584
C83083,20979,164134.8900000001,152391.25,1177153,372158640
C83085,23872,141886.19,132190.59999999998,1310970,365502144
C83605,7037,60378.88999999987,56045.75000000008,437342,227127712
C83611,13329,89871.72000000015,83292.3999999999,857277,284615632
C83613,13069,90772.91999999997,84528.26,879307,303173136
C83614,10827,74357.29000000005,68928.30000000006,534518,249719456
C83617,15795,112047.3100000002,104065.63999999974,929262,313057024
C83626,10588,78668.69999999987,73395.77999999984,695530,260410192
C83628,3098,20634.150000000005,19133.080000000024,174531,133533344
C83631,5213,37829.41,35280.83,350050,150880576
